id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9044081,1083,APARTMENT,APARTMENT,265000,FOR_SALE,4,90,INSTALLED,False,False,True,13,,,,4,,AS_NEW
9043978,1000,APARTMENT,APARTMENT,1795000,FOR_SALE,4,650,USA_HYPER_EQUIPPED,False,True,True,400,,,,3,,AS_NEW
9044188,1050,HOUSE,MANSION,3800000,FOR_SALE,5,752,HYPER_EQUIPPED,False,False,True,40,True,,340,2,,JUST_RENOVATED
9041095,4860,HOUSE,HOUSE,320000,FOR_SALE,5,231,NOT_INSTALLED,False,False,True,30,True,1200,1421,3,False,AS_NEW
9042175,1160,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9041098,6001,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9043036,9600,APARTMENT,APARTMENT,195000,FOR_SALE,2,75,INSTALLED,,False,,,,,,2,,GOOD
9042950,6010,APARTMENT,TRIPLEX,235000,FOR_SALE,3,149,HYPER_EQUIPPED,False,False,True,15,,,,2,False,AS_NEW
9042073,1070,APARTMENT,APARTMENT,320000,FOR_SALE,3,130,USA_HYPER_EQUIPPED,False,False,True,14,,,,2,,AS_NEW
9042267,7181,HOUSE,VILLA,325000,FOR_SALE,2,130,INSTALLED,False,False,True,30,True,600,1043,4,False,TO_BE_DONE_UP
9042129,1000,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9042511,5340,HOUSE,VILLA,569000,FOR_SALE,6,324,INSTALLED,,False,True,57,True,,2202,4,,JUST_RENOVATED
9034494,1950,APARTMENT,APARTMENT,715000,FOR_SALE,2,126,USA_HYPER_EQUIPPED,False,False,True,6,,,,2,False,AS_NEW
9039019,1050,APARTMENT,APARTMENT,1550000,FOR_SALE,3,213,USA_HYPER_EQUIPPED,False,False,True,39,,,,,False,AS_NEW
9040949,3271,HOUSE,HOUSE,230000,FOR_SALE,4,226,INSTALLED,,False,True,25,True,150,398,3,,TO_RENOVATE
8997289,1180,APARTMENT,FLAT_STUDIO,224500,FOR_SALE,1,52,HYPER_EQUIPPED,False,True,True,1,,,,2,,GOOD
8949028,4870,HOUSE,EXCEPTIONAL_PROPERTY,349000,FOR_SALE,5,350,HYPER_EQUIPPED,,True,True,40,True,450,700,3,,GOOD
9039312,9000,APARTMENT,APARTMENT,358000,FOR_SALE,2,85,INSTALLED,,False,True,1,,,,2,,GOOD
9039311,2060,APARTMENT,LOFT,360500,FOR_SALE,2,114,INSTALLED,,False,True,25,,,,2,,GOOD
9039245,1330,HOUSE,HOUSE,585000,FOR_SALE,5,187,SEMI_EQUIPPED,False,False,True,74,,,483,3,False,GOOD
9039433,1180,APARTMENT,APARTMENT,780000,FOR_SALE,3,190,USA_HYPER_EQUIPPED,False,False,True,135,,,,3,False,JUST_RENOVATED
9038896,4430,APARTMENT,APARTMENT,210000,FOR_SALE,2,77,INSTALLED,,False,True,5,,,,,,AS_NEW
9038897,4430,APARTMENT,APARTMENT,250000,FOR_SALE,2,97,INSTALLED,,False,True,5,,,,3,,AS_NEW
8603832,8710,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9038507,8370,APARTMENT,DUPLEX,199000,FOR_SALE,2,87,INSTALLED,,False,True,,,,,2,,GOOD
9037272,5170,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9037648,1020,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,False,False,,,,,,,,
8929869,1755,HOUSE,HOUSE,259000,FOR_SALE,3,116,SEMI_EQUIPPED,,False,True,,,,810,3,,TO_BE_DONE_UP
9037183,9050,APARTMENT,APARTMENT,265000,FOR_SALE,1,76,INSTALLED,False,False,True,10,True,,,,False,AS_NEW
9037014,1070,APARTMENT,APARTMENT,288000,FOR_SALE,2,88,USA_HYPER_EQUIPPED,,False,True,6,,,,2,,AS_NEW
9042688,2845,HOUSE,HOUSE,320000,FOR_SALE,4,158,INSTALLED,False,False,,,True,43,100,2,False,AS_NEW
9042223,4120,HOUSE,HOUSE,325000,FOR_SALE,3,130,USA_HYPER_EQUIPPED,False,False,True,75,True,760,1031,4,False,GOOD
9034495,1160,APARTMENT,FLAT_STUDIO,239500,FOR_SALE,0,46,USA_HYPER_EQUIPPED,False,False,True,9,,,,,False,AS_NEW
9034656,8670,APARTMENT,SERVICE_FLAT,320000,FOR_SALE,1,57,USA_HYPER_EQUIPPED,False,False,True,,,,,,False,AS_NEW
9036085,6020,HOUSE,HOUSE,109900,FOR_SALE,2,125,SEMI_EQUIPPED,False,False,True,10,,,80,3,False,GOOD
9036522,7180,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,False,False,,,,,,,,
9036417,1080,APARTMENT,APARTMENT,169000,FOR_SALE,2,70,NOT_INSTALLED,False,False,True,2,,,,2,,TO_RENOVATE
9035995,1500,APARTMENT,APARTMENT,198000,FOR_SALE,2,87,SEMI_EQUIPPED,False,False,True,8,,,,2,False,GOOD
9035930,1040,APARTMENT,APARTMENT,229000,FOR_SALE,1,52,USA_INSTALLED,True,False,True,4,,,,2,False,AS_NEW
9035945,4682,HOUSE,HOUSE,237000,FOR_SALE,3,117,INSTALLED,False,False,True,,True,40,126,3,False,GOOD
9041213,6680,HOUSE,HOUSE,275000,FOR_SALE,5,237,INSTALLED,False,False,True,,True,1100,1250,4,False,GOOD
9041140,9820,HOUSE,HOUSE,329000,FOR_SALE,3,110,SEMI_EQUIPPED,,False,,,,,5724,3,,TO_BE_DONE_UP
9041379,1755,HOUSE,HOUSE,360000,FOR_SALE,5,347,SEMI_EQUIPPED,,False,,,,,460,2,,TO_RENOVATE
9041444,8790,HOUSE,MANSION,665000,FOR_SALE,4,288,INSTALLED,,False,True,,True,,667,2,,GOOD
9041443,8790,HOUSE,MANSION,665000,FOR_SALE,4,288,INSTALLED,,False,True,,True,,667,2,,GOOD
9040377,1850,HOUSE,VILLA,695000,FOR_SALE,6,241,HYPER_EQUIPPED,False,False,,,,,750,4,,GOOD
9044347,1180,HOUSE,TOWN_HOUSE,680000,FOR_SALE,3,200,USA_INSTALLED,False,True,True,10,True,70,285,3,,GOOD
9044039,1050,HOUSE,HOUSE,1350000,FOR_SALE,5,365,USA_HYPER_EQUIPPED,False,False,True,20,True,50,145,2,,JUST_RENOVATED
9043919,1050,HOUSE,MANSION,4950000,FOR_SALE,8,1000,INSTALLED,False,False,True,,,,310,2,,GOOD
9033767,6001,APARTMENT,APARTMENT,165000,FOR_SALE,1,64,HYPER_EQUIPPED,,False,,,,,,4,,AS_NEW
9041253,1030,APARTMENT,APARTMENT,197500,FOR_SALE,1,70,HYPER_EQUIPPED,,True,True,3,,,,4,,JUST_RENOVATED
9033790,6001,APARTMENT,APARTMENT,265000,FOR_SALE,2,104,HYPER_EQUIPPED,False,False,True,15,,,,4,,AS_NEW
9040974,9700,APARTMENT,APARTMENT,280000,FOR_SALE,3,140,INSTALLED,,False,True,6,,,,3,,GOOD
9033817,6001,APARTMENT,APARTMENT,320000,FOR_SALE,3,120,HYPER_EQUIPPED,,False,True,30,,,,4,,AS_NEW
8829165,8300,APARTMENT,APARTMENT,435000,FOR_SALE,2,85,USA_HYPER_EQUIPPED,,False,True,,,,,2,False,GOOD
9035334,1190,APARTMENT,APARTMENT,198000,FOR_SALE,1,76,INSTALLED,False,False,True,15,,,,2,False,GOOD
9035045,9300,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,False,False,,,,,,,,
9034364,8800,APARTMENT,APARTMENT,235000,FOR_SALE,3,141,INSTALLED,False,False,True,,,,,,False,AS_NEW
9020689,4000,APARTMENT,APARTMENT,289000,FOR_SALE,3,149,HYPER_EQUIPPED,False,False,True,,,,,2,,AS_NEW
9034648,6180,HOUSE,FARMHOUSE,299900,FOR_SALE,3,200,INSTALLED,False,False,,,True,300,1014,3,False,AS_NEW
9032268,4432,APARTMENT,APARTMENT,198000,FOR_SALE,3,104,NOT_INSTALLED,False,False,,,,,,2,False,AS_NEW
9038751,8434,APARTMENT,APARTMENT,220000,FOR_SALE,2,77,INSTALLED,False,False,True,,,,,2,,GOOD
9032264,4430,APARTMENT,APARTMENT,230000,FOR_SALE,3,111,NOT_INSTALLED,False,False,,,,,,3,False,AS_NEW
9032265,4432,APARTMENT,PENTHOUSE,325000,FOR_SALE,3,150,INSTALLED,False,False,True,24,,,,3,False,AS_NEW
9043230,2170,APARTMENT,PENTHOUSE,249000,FOR_SALE,2,125,INSTALLED,False,True,True,31,,,,2,False,JUST_RENOVATED
9033233,7370,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,,False,,,,,,,,
9033366,1470,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,False,False,,,,,,,,
9033732,4671,HOUSE,VILLA,310000,FOR_SALE,4,291,INSTALLED,False,False,True,40,True,,950,4,,JUST_RENOVATED
9033639,1000,APARTMENT,APARTMENT,369000,FOR_SALE,2,120,HYPER_EQUIPPED,,False,,,,,,3,,AS_NEW
9032955,1731,HOUSE,HOUSE,449000,FOR_SALE,3,151,HYPER_EQUIPPED,,False,True,21,True,235,386,4,,AS_NEW
9038495,8550,HOUSE,HOUSE,276000,FOR_SALE,3,165,INSTALLED,,False,,,,,198,2,,GOOD
9040505,4500,HOUSE,HOUSE,159000,FOR_SALE,4,119,SEMI_EQUIPPED,False,False,True,17,True,75,166,2,False,TO_BE_DONE_UP
9041251,7350,HOUSE,HOUSE,650000,FOR_SALE,3,300,INSTALLED,,False,True,,,,3900,4,True,AS_NEW
9038921,1933,APARTMENT,APARTMENT,328000,FOR_SALE,2,93,USA_HYPER_EQUIPPED,False,False,True,6,,,,2,False,AS_NEW
8872852,4540,APARTMENT,DUPLEX,345000,FOR_SALE,4,218,INSTALLED,,False,True,8,,,,3,False,AS_NEW
9040807,1050,APARTMENT,APARTMENT,495000,FOR_SALE,3,120,HYPER_EQUIPPED,False,False,True,,,,,2,,GOOD
